threshold,n,tp,tn,fp,fn,accuracy,precision,recall,f1
0.87,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.88,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.89,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.9,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.91,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.92,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.93,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.94,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.95,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.96,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.97,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.98,67,34,32,1,0,0.9850746268656716,0.9714285714285714,1.0,0.9855072463768116
0.99,67,32,32,1,2,0.9552238805970149,0.9696969696969697,0.9411764705882353,0.9552238805970149
1.0,67,0,33,0,34,0.4925373134328358,0.0,0.0,0.0
